Id,Key,Ukrainian,English,Polish,German,French,Spanish,Italian,Portuguese,Turkish,Arabic,Hindi
37,Tutorial_WinCondition,Кожна смуга має містити сегменти одного кольору. Ця вже готова!,Each strip must contain segments of one color. This one is done!,Każdy pasek musi zawierać segmenty jednego koloru. Ten jest gotowy!,Jeder Streifen muss Segmente einer Farbe enthalten. Dieser ist fertig!,Chaque bande doit contenir des segments d'une seule couleur. Celle-ci est terminée!,¡Cada tira debe contener segmentos de un solo color. Esta está lista!,Ogni striscia deve contenere segmenti di un solo colore. Questa è completa!,Cada faixa deve conter segmentos de uma única cor. Esta está pronta!,Her şerit tek renk segmentler içermeli. Bu şerit tamamlandı!,يجب أن يحتوي كل شريط على مقاطع من لون واحد. هذا مكتمل!,हर पट्टी में एक ही रंग के सेगमेंट होने चाहिए। यह पूरी हो गई!
38,Tutorial_DontBreak,Ця смуга готова — спробуйте інший хід!,This strip is done — try a different move!,Ten pasek jest skończony — spróbuj innego ruchu!,Dieser Streifen ist fertig — versuche einen anderen Zug!,Cette bande est terminée — essayez un autre mouvement!,¡Esta tira está lista — ¡prueba otro movimiento!,Questa striscia è finita — prova una mossa diversa!,Esta faixa está pronta — tente outro movimento!,Bu şerit bitti — farklı bir hamle dene!,هذا الشريط منتهٍ — جرّب حركة أخرى!,यह पट्टी पूरी हो गई — कोई और चाल आज़माएं!
39,Tutorial_TrySlideHere,Спробуйте перемістити сегменти тут,Try moving segments here,Spróbuj przesunąć segmenty tutaj,Versuche die Segmente hier zu verschieben,Essayez de déplacer les segments ici,Intenta mover los segmentos aquí,Prova a spostare i segmenti qui,Tente mover os segmentes aqui,Burada segmentleri taşımayı dene,حاول نقل المقاطع هنا,यहां सेगमेंट ले जाने का प्रयास करें
40,Tutorial_DragStrips,Переміщуй смуги горизонтально потягнувши за сегменти,Swipe strips horizontally by dragging segments,Przesuwaj paski poziomo ciągnąc za segmenty,Schiebe Streifen horizontal indem du an den Segmenten ziehst,Déplacez les bandes horizontalement en tirant sur les segments,Desliza las tiras horizontalmente arrastrando los segmentos,Trascina le strisce orizzontalmente tirando i segmenti,Arraste as faixas horizontalmente puxando os segmentos,Şeritleri yatay olarak taşıyın segmentlere tutarak,حرّك الأشرطة أفقياً بسحب المقاطع,पट्टियों को सेगमेंट खींचकर क्षैतिज रूप से स्थानांतरित करें
41,Tutorial_SlideBetweenStrips,Чорні стрілки вказують спеціальні зони — тягни сегменти між смугами,Black arrows indicate special zones — drag segments between strips,Czarne strzałki wskazują specjalne strefy — przesuwaj segmenty między paskami,Schwarze Pfeile markieren spezielle Zonen — Segmente zwischen Streifen verschieben,Les flèches noires indiquent les zones spéciales — déplacez les segments entre les bandes,Las flechas negras indican zonas especiales — mueve los segmentos entre tiras,Le frecce nere indicano zone speciali — sposta i segmenti tra le strisce,As setas pretas indicam zonas especiais — mova os segmentos entre as faixas,Siyah oklar özel bölgeleri gösterir — segmentleri şeritler arasında taşıyın,الأسهم السوداء تشير إلى مناطق خاصة — حرّك الأشرطة بين المقاطع,काले तीर विशेष क्षेत्रों को इंगित करते हैं — पट्टियों के बीच सेगमेंट्स खींचें
42,Tutorial_WinGoal,Щоб виграти збери всі смуги в один колір,To win collect all strips into one color,Aby wygrać zbierz wszystkie paski w jeden kolor,Um zu gewinnen sammle alle Streifen in einer Farbe,Pour gagner rassemblez toutes les bandes d'une seule couleur,Para ganar reúne todas las tiras de un solo color,Per vincere raccogli tutte le strisce di un solo colore,Para vencer reúna todas as faixas de uma única cor,Kazanmak için tüm şeritleri tek renge topla,للفوز اجمع جميع الأشرطة في لون واحد,जीतने के लिए सभी पट्टियों को एक ही रंग में इकट्ठा करें
43,Tutorial_TapToContinue,Натисни щоб продовжити,Tap to continue,Stuknij aby kontynuować,Tippe um fortzufahren,Appuyez pour continuer,Toca para continuar,Tocca per continuare,Toque para continuar,Devam etmek için dokunin,اضغط للمتابعة,जारी रखने के लिए टैप करें
44,Notification_DailyChallenge_Title,Daily Challenge,Daily Challenge,Wyzwanie Dnia,Tagesherausforderung,Défi du Jour,Reto del Día,Sfida del Giorno,Desafio Diário,Günlük Mücadele,تحدي اليوم,दैनिक चुनौती
45,Notification_DailyChallenge_Body,Твій Daily Challenge готовий! Зіграєш?,Your Daily Challenge is ready! Play?,Twój Daily Challenge jest gotowy! Zagrałeś?,Deine Daily Challenge ist bereit! Spielst du?,Ton Défi du Jour est prêt! Joues-tu?,¡Tu Reto del Día está listo! Juegas?,La tua Sfida del Giorno è pronta! Giochi?,Seu Desafio Diário está pronto! Jogar?,Günlük Mücadele hazır! Oynar mısın?,تحدي اليوم جاهز! هل تلعب?,दैनिक चुनौती तैयार है! खेलेंगे?
46,Notifications,Сповіщення,Notifications,Powiadomienia,Benachrichtigungen,Notifications,Notificaciones,Notifiche,Notificações,Bildirimler,إشعارات,सूचनाएँ
